datetime,open,high,low,close,volume
2019-09-26 14:10:00,1.5710000000000002,1.5710000000000002,1.569,1.5699999999999998,16947
2019-09-26 14:11:00,1.5699999999999998,1.5699999999999998,1.569,1.5699999999999998,12136
2019-09-26 14:12:00,1.569,1.569,1.568,1.569,1697
2019-09-26 14:13:00,1.568,1.569,1.568,1.568,3915
2019-09-26 14:14:00,1.569,1.569,1.568,1.569,6265
2019-09-26 14:15:00,1.569,1.569,1.568,1.568,9438
2019-09-26 14:16:00,1.569,1.569,1.568,1.568,9256
2019-09-26 14:17:00,1.568,1.568,1.567,1.567,11592
2019-09-26 14:18:00,1.567,1.567,1.566,1.566,13104
2019-09-26 14:19:00,1.567,1.567,1.566,1.566,21313
2019-09-26 14:20:00,1.566,1.566,1.564,1.565,24268
2019-09-26 14:21:00,1.565,1.565,1.564,1.565,11039
2019-09-26 14:22:00,1.565,1.568,1.565,1.568,24694
2019-09-26 14:23:00,1.568,1.568,1.566,1.568,18759
2019-09-26 14:24:00,1.567,1.569,1.566,1.566,15202
2019-09-26 14:25:00,1.567,1.568,1.566,1.567,17690
2019-09-26 14:26:00,1.567,1.567,1.566,1.567,3845
2019-09-26 14:27:00,1.568,1.568,1.567,1.568,15486
2019-09-26 14:28:00,1.568,1.569,1.567,1.568,12448
2019-09-26 14:29:00,1.569,1.569,1.569,1.569,16078
2019-09-26 14:30:00,1.569,1.5710000000000002,1.569,1.5699999999999998,17593
2019-09-26 14:31:00,1.5699999999999998,1.5710000000000002,1.5699999999999998,1.5699999999999998,9020
2019-09-26 14:32:00,1.5699999999999998,1.5710000000000002,1.569,1.5699999999999998,3553
2019-09-26 14:33:00,1.5699999999999998,1.5710000000000002,1.569,1.5699999999999998,5959
2019-09-26 14:34:00,1.5699999999999998,1.5710000000000002,1.5699999999999998,1.5710000000000002,16845
2019-09-26 14:35:00,1.5710000000000002,1.5710000000000002,1.569,1.5699999999999998,20808
2019-09-26 14:36:00,1.569,1.5699999999999998,1.569,1.569,12522
2019-09-26 14:37:00,1.569,1.569,1.567,1.567,20822
2019-09-26 14:38:00,1.567,1.567,1.566,1.567,7829
2019-09-26 14:39:00,1.567,1.568,1.566,1.566,7138
2019-09-26 14:40:00,1.567,1.567,1.566,1.567,18108
2019-09-26 14:41:00,1.567,1.567,1.566,1.566,25548
2019-09-26 14:42:00,1.566,1.566,1.565,1.566,21123
2019-09-26 14:43:00,1.565,1.566,1.564,1.565,16673
2019-09-26 14:44:00,1.565,1.565,1.5630000000000002,1.564,33437
2019-09-26 14:45:00,1.5630000000000002,1.565,1.5630000000000002,1.564,11537
2019-09-26 14:46:00,1.565,1.566,1.564,1.566,18747
2019-09-26 14:47:00,1.566,1.566,1.565,1.566,35333
2019-09-26 14:48:00,1.565,1.566,1.565,1.566,12843
2019-09-26 14:49:00,1.566,1.566,1.565,1.566,24398
2019-09-26 14:50:00,1.565,1.566,1.5630000000000002,1.5630000000000002,43736
2019-09-26 14:51:00,1.5630000000000002,1.5630000000000002,1.561,1.5619999999999998,49084
2019-09-26 14:52:00,1.5619999999999998,1.5619999999999998,1.561,1.5619999999999998,58447
2019-09-26 14:53:00,1.5619999999999998,1.5630000000000002,1.561,1.5630000000000002,58908
2019-09-26 14:54:00,1.5630000000000002,1.5630000000000002,1.5619999999999998,1.5630000000000002,58058
2019-09-26 14:55:00,1.5630000000000002,1.5630000000000002,1.5619999999999998,1.5619999999999998,36988
2019-09-26 14:56:00,1.5619999999999998,1.5619999999999998,1.56,1.561,48855
2019-09-26 14:57:00,1.56,1.561,1.56,1.561,15274
2019-09-26 15:00:00,1.561,1.561,1.561,1.561,88718
